TIMEPOINT,G2,G4,G6,G3,G8,G11,G5,G7,G12,G9,G10,G1
1,250.0,0.0,120.0,0.0,200.0,0.0,120.0,150.0,0.0,0.0,28.0,0.0
2,250.0,0.0,200.0,0.0,20.0,0.0,220.0,134.0,0.0,0.0,0.0,0.0
3,250.0,0.0,191.0,0.0,20.0,0.0,300.0,25.0,0.0,0.0,0.0,0.0
4,250.0,0.0,175.0,0.0,0.0,0.0,300.0,25.0,0.0,0.0,0.0,0.0
5,250.0,0.0,166.0,0.0,0.0,0.0,300.0,25.0,0.0,0.0,0.0,0.0
6,250.0,0.0,165.0,0.0,0.0,0.0,300.0,25.0,0.0,0.0,0.0,0.0
7,250.0,0.0,175.0,0.0,0.0,0.0,300.0,25.0,0.0,0.0,0.0,0.0
8,250.0,0.0,178.0,0.0,0.0,0.0,300.0,25.0,0.0,0.0,0.0,0.0
9,250.0,0.0,200.0,0.0,0.0,0.0,300.0,29.0,0.0,0.0,0.0,0.0
10,250.0,0.0,200.0,0.0,0.0,0.0,300.0,69.0,0.0,0.0,0.0,0.0
11,250.0,0.0,200.0,0.0,0.0,0.0,300.0,94.0,0.0,0.0,0.0,0.0
12,250.0,0.0,200.0,0.0,0.0,0.0,300.0,103.0,0.0,0.0,0.0,0.0
13,250.0,0.0,200.0,0.0,0.0,0.0,300.0,113.0,0.0,0.0,0.0,0.0
14,250.0,0.0,200.0,0.0,0.0,0.0,300.0,113.0,0.0,0.0,0.0,0.0
15,250.0,0.0,200.0,0.0,0.0,0.0,300.0,103.0,0.0,0.0,0.0,0.0
16,250.0,0.0,200.0,0.0,0.0,0.0,300.0,90.0,0.0,0.0,0.0,0.0
17,250.0,0.0,200.0,0.0,0.0,0.0,300.0,77.0,0.0,0.0,0.0,0.0
18,250.0,0.0,200.0,0.0,0.0,0.0,300.0,63.0,0.0,0.0,0.0,0.0
19,250.0,0.0,200.0,0.0,0.0,0.0,300.0,65.0,0.0,0.0,0.0,0.0
20,250.0,0.0,200.0,0.0,0.0,0.0,300.0,76.0,0.0,0.0,0.0,0.0
21,250.0,0.0,200.0,0.0,0.0,0.0,300.0,134.0,0.0,0.0,0.0,0.0
22,250.0,0.0,200.0,0.0,0.0,0.0,300.0,126.0,0.0,0.0,0.0,0.0
23,250.0,0.0,200.0,0.0,0.0,0.0,300.0,100.0,0.0,0.0,0.0,0.0
24,250.0,0.0,200.0,0.0,0.0,0.0,300.0,66.0,0.0,0.0,0.0,0.0
